Column,Column,REVENUE,% CONTRIBUTION,EFFICIENCY,RETURNS*
,,TOTALINCOME,,COST TO INCOMERATIO,RETURN ON AVERAGEEQUITY
"s
e
i
r
a
i
d
i
s
b
u
S
g
n
i
k
n
a
B",NCBAK,"51.2Bn
KES
(3%)",81.7%,49.3%,19.2%
,NCBAU,"3.4Bn
KES
+7",5.4%,58.5%,31.0%
,,"2.8Bn
KES
(3%)",4.5%,71.8%,38.4%
,NCBAT,,,,
,,"2.8Bn
KES
+1",4.4%,55.7%,15.7%
,NCBAR,,,,
Non-Bank Subsidiaries,,"2.5Bn
KES
25%",3.9%,54.4%,56.4%
Group,,"62.7Bn
KES",,51.3%,21.7%
