-,-,-,-,-
"400,975","36,971","315,350","20,812","774,108"
"400,975","36,971","315,350","20,812","774,108"
"(584,754)",-,-,-,"(584,754)"
-,-,"339,566","9,047","348,613"
"29,919",-,-,-,"29,919"
-,-,"(196,527)","(5,138)","(201,665)"
-,"(36,971)",-,-,"(36,971)"
-,"5,986",-,-,"5,986"
"29,919","(30,985)","143,039","3,909","145,882"
"(554,835)","(30,985)","143,039","3,909","(438,872)"
-,-,"66,627","4,196","70,823"
"(554,835)","(30,985)","209,666","8,105","(368,049)"
"465,923",-,-,-,"465,923"
-,-,"(135,808)",-,"(135,808)"
"11,459",-,-,-,"11,459"
"477,382",-,"(135,808)",-,"341,574"
-,-,-,-,-
"323,522","5,986","389,208","28,917","747,633"
"323,522","5,986","389,208","28,917","747,633"
