Criteria Category,Definition,"United Nations Sustainable
Development Goals"
Renewable Energy,"Allocation of funds for the development, construction, or
enhancement of renewable energy projects such as solar,
wind, hydro, or geothermal energy generation, including
the manufacture of components, sale, lease of battery and
storage systems, electricity transmission and distribution
grids or projects.
Renewable energy consulting and sector groups conducted
in line with best available industry standards.","SDG 7: Affordable and Clean Energy
SDG 9: Industry, Innovation and
Infrastructure
SDG 13: Climate Action"
Energy Efficiency,"Investment in projects that aim to reduce energy
consumption and carbon emissions, including energy-
efficient building retrofits and equipment upgrades","SDG 7: Affordable and Clean Energy
SDG 9: Industry, Innovation and
Infrastructure"
"Green
Infrastructure","Funding for sustainable infrastructure projects such as green
buildings, public transportation, and wastewater treatment
facilities.
Retrofits for residential, commercial and public buildings
including but not limited to onsite renewable energy
generation, LED lighting, energy management systems and
refurbishment of air conditioning systems.","SDG 7: Affordable and Clean Energy
SDG 9: Industry, Innovation and
Infrastructure
SDG 11: Sustainable Cities and
Communities
SDG 13: Climate Action"
"Low Carbon
and Offsetting
Technology","Technologies and initiatives that promote cleaner energy
practices and contribute to the removal or neutralization of
greenhouse gas emissions.
This includes afforestation and reforestation projects
that create carbon sinks by planting trees, as well as
participation in carbon offset programs supporting activities
like methane capture and landfill gas reduction. Renewable
Energy Certificates (RECs) and community-based offset
projects are also included.","SDG 7: Affordable and Clean Energy
SDG 9: Industry, Innovation and
Infrastructure
SDG 13: Climate Action"
"Biodiversity
Conservation","Financing projects that protect and restore natural
ecosystems and promote biodiversity conservation.","SDG 13: Climate Action
SDG 15: Life on Land"
"Water
Conservation &
Management","Allocation of funds to projects that improve water
management, reduce water consumption, and enhance
water quality","SDG 6: Clean Water and Sanitation
SDG 13: Climate Action"
