"244,010,060","118,447,911"
"4,875,258","3,055,500"
"248,885,318","121,503,411"
"39,849,831","18,242,280"
"213,253,157","106,507,555"
"1,232,768","440,215"
"12,131,362","2,112,797"
"266,467,118","127,302,847"
"(2,267,432)","(1,329,642)"
"(8,074,864)","(1,432,947)"
"(12,114,762)","(6,092,347)"
"244,010,060","118,447,911"
"4,875,258","3,055,500"
"3,055,500","3,055,500"
"2,077,204",-
"(257,446)",-
"4,875,258","3,055,500"
"99,191,707","52,444,041"
"86,847,264","12,089,799"
-,"16,516,891"
"62,846,347","40,452,680"
"248,885,318","121,503,411"
