Policy,Key Provisions
"Environmental, Social and
Governance Policies","The policies establish a commitment to undertake business activities
in a manner that is considerate to the environment and communities
surrounding the Group’s and its customers operations through:
• undertaking an assessment of customers’ operating activities;
• creating a sustainable ecosystem that is beneficial to all parties
involved;
• designing an environmentally friendly structure that promotes
sustainability.;
• Green/ Responsible Procurement and use of sustainable products;
and
• Labour Related Social Responsibility."
"Procurement and Vendor
Management Policy","The Policy subscribes to principles of openness, integrity and fairness in
implementing the Group’s procurement practices for the long term benefit
of the Group."
"Group Staff and Related
Parties Securities Trading
Policy","The policy prohibits Directors, Management and staff from trading in
the securities, (including equity securities, convertible securities, options,
bonds and any stock index containing the security), of any company while
in possession of material, non- public information, (also known as insider
information), regarding the entity. During the year 2021, there were no
determined instances of insider trading by the Directors, Management and
Staff of the Group."
Whistle Blowing Policy,"The Group’s Whistle Blowing Policy sets out the Boards’, Managements’
and Staff members’ obligation and commitment to upholding the
highest levels of integrity and observance of the rule of law and provides
stakeholders with a secure, confidential and anonymous channel to report
information that requires Management’s and the Boards’ attention on
ethical and governance matters. The whistleblowing procedures have
been published on the Group’s website (ke.ncbagroup.com) for ease of
access and reference by the Group’s stakeholders."
ICT Policies,"The Policies on ICT as established by the Board set the framework for:
• prudent procurement practices in relation to ICT systems;
• the creation of an enabling environment for relevant infrastructure
implementation and future development needs;
• Data Protection and management and ICT Security and Cyber
Security Monitoring;
• ICT literacy and professional skills development for all staff; and
• development of fit for purpose ICT systems and applications in
support of the innovation and digital approach for the Group."
