Column,Column,REVENUE,% CONTRIBUTION,EFFICIENCY,RETURNS*
,,TOTALINCOME,,COST TO INCOMERATIO,RETURN ON AVERAGEEQUITY
"s
e
i
r
a
i
d
i
s
b
u
S
g
n
i
k
n
a
B",NCBAK,"13.6Bn
KES",78.4%,50.7%,18.8%
,NCBAU,"1.2Bn
KES",7.1%,62.1%,26.4%
,,"0.8Bn
KES",4.4%,88.0%,11.8%
,NCBAT,,,,
,,"0.9Bn
KES",5.6%,60.4%,7.8%
,NCBAR,,,,
Non-Bank Subsidiaries,,"0.8Bn
KES",4.5%,52.9%,36.8%
Group,,"17.3Bn
KES",,51.2%,19.4%
