Column,NCBA Bank Kenya,Column,Column,NCBA Group Consolidated,Column,Column
,1Q’23,1Q’22,∆%,1Q’23,1Q’22,∆%
Interest Income,"13,127","10,953",20%,"14,714","12,163",21%
Interest Expenses,"(5,785)","(4,556)",27%,"(6,346)","(5,070)",25%
Net Interest Income,"7,342","6,398",15%,"8,368","7,093",18%
FX Income,"2,521","1,449",74%,"2,653","1,620",64%
Other Non- Interest Income,"3,328","3,622",(8%),"4,526","4,437",2%
Non – Funded Income,"5,849","5,071",15%,"7,179","6,057",19%
Operating Income,"13,191","11,469",15%,"15,547","13,150",18%
Operating Expenses,"(5,790)","(4,485)",29%,"(7,199)","(5,592)",29%
Operating Profit,"7,401","6,984",6%,"8,349","7,558",10%
Impairments,"(1,942)","(2,215)",12%,"(1,954)","(2,525)",23%
Profit Before Tax And Exceptional Items,"5,459","4,769",14%,"6,395","5,033",27%
Exceptional item,0,(185),100%,0,(185),100%
Profit after Exceptional items,"5,459","4,584",19%,"6,395","4,848",32%
