"At start of
year","(Credit)/ Charge
to profit or loss","Charge/
(Credit) to OCI","At end of
year"
Shs’000,Shs’000,Shs’000,Shs’000
"(10,990)","1,005",-,"(9,985)"
"(2,034)",751,-,"(1,283)"
-,"(51,390)",,"(51,390)"
-,"4,417",-,"4,417"
"(306,681)","(76,042)",-,"(382,723)"
"216,789",-,"(557,721)","(340,932)"
"(253,698)","(355,451)",-,"(609,149)"
"(38,469)",-,-,"(38,469)"
"(395,083)","(476,710)","(557,721)","(1,429,514)"
"76,238",-,-,"76,238"
"5,143",-,"(4,417)",726
"(313,702)","(476,710)","(562,138)","(1,352,550)"
