Column,Q3 24,Q3 25
Cost to IncomeRatio,52.4%,53.4%
Cost to Assets,3.6%,5.6%
Cost of Risk,1.6%,1.4%
Staff Costs Intensity (1),20.3%,22.5%
IT Costs Intensity (2),9.6%,8.3%
