Policy,Key Provisions
"Corporate Disclosures
Policy","The policy of the Group is to make adequate disclosure of material information and to
ensure that all communications to the Group’s stakeholders are timely, complete and
accurate and appropriately and broadly communicated in accordance with all applicable
legal and regulatory requirements."
Conflicts of Interest Policy,"The policy requires:
• New Directors to disclose any actual, potential or perceived conflicts of interest prior to
the Board’s consideration of their appointment;
• Non-participation by any Director in discussions or decisions in which they have a
potential or perceived conflict of interest;
• Disclosure of material factors that could present a conflict of interest; and
• Its application to all internal stakeholders of the Group.
The Group Company Secretary maintains a record of all disclosed conflicts of interest and
disclosures are also a standing agenda item at each Board and Committee meeting."
"Environmental, Social and
Governance Policies","The policies establish a commitment to undertake business activities in a manner that
is considerate to the environment and communities surrounding the Group’s and its
customers operations through:
• Partnering with customers’ to assess their financed activities In view of the Group’s
commitment to sustainable business practices;
• Entrenching a sustainable ecosystem spanning people, planet and sustainable return to
the Group’s stakeholders;
• Designing an environmentally friendly operating structure that promotes sustainability;
• Green / Responsible Procurement and use of sustainable products; and
• Labour-Related and Community Social Responsibility."
"Procurement and Vendor
Management Policy","The Policy subscribes to principles of openness, integrity and fairness in implementing the
Group’s procurement practices for the long-term benefit of the Group. The procurement
practices further provide for support to women and youth empowerment by targeting at
least 30% of general services procurement spend to support their growth."
"Group Staff and Related
Parties Securities Trading
Policy","The policy prohibits Directors, Management and staff from trading in the securities,
(including equity securities, convertible securities, options, bonds and any stock index
containing the security), of any company while in possession of material, non- public
information, (also known as insider information), regarding the entity. During the year 2024,
there were no determined instances of insider trading by the Directors, Management and
Staff of the Group."
Whistle Blowing Policy,"The Group’s Whistle Blowing Policy sets out the Boards’, Managements’ and Staff members’
obligation and commitment to upholding the highest levels of integrity and observance
of the rule of law and provides stakeholders with a secure, confidential and anonymous
channel to report information that requires Management’s and the Boards’ attention on
ethical and governance matters. The whistleblowing procedures have been published on
the Group’s website (https://ncbagroup.com/ncba-group-whistleblowing-policy/) for ease of
access and reference by the Group’s stakeholders. Highlights of the framework include:
• Partnering with an independent external service provider to offer a secure reporting
channel accessible via the Group’s website, ensuring confidentiality and ease of use for
whistleblowers.
• Oversight of the process by the Board Audit and Risk Committee to independently
maintain and drive timely corrective actions, including disciplinary action for proven
operational policy violations and/or unethical conduct as per the Group’s Human
Resources Management Policy.
• Comprehensive safeguards to protect whistleblowers from retaliation, including strict
confidentiality protocols and a zero-tolerance stance on any form of reprisal, with
remedies applied as appropriate."
