THREE LINES OF DEFENSE,Column,Column
First Line of Risk Control,Second Line of risk control,Third Line Of Risk Control
Primary Risk Owners: Business units,"Risk Governance: Management Risk
Committees and Risk Management
Division","Independent Assurance
provider: Internal and External
Auditors"
"The individual business units ensure
that they act in accordance with
mandates, policies and procedures.
They also:
• Identify key risks to own business
• Specify and implement
appropriate risk management
processes
• Specify and implement early
warning measures, as well
as associated reporting and
management processes
• Implement corrective actions, as
required","Independent oversight and
monitoring risk across business units
Committees (ALCO, Credit Risk
Review, CRMC, NPAG&R, etc)
• Take ownership of and maintain
risk governance and frameworks
• Recommend risk appetite in line
with the strategy
• Review and update risk policies
• Overseeing and monitoring
the implementation of Risk
Management policies
• Ensuring that risk issues are
resolved effectively by risk
owners
Risk Division
• Monitor compliance to risk
appetite and risk policies
• Challenge risk profile through
review of risk assessment,
evaluation of risk management
processes and monitoring of
corrective actions","Provide independent
assurance of the adequacy and
effectiveness of implementing
policy and procedure
• Evaluation of the
development and
implementation of policies
of relevant business
• Review of the integrity,
accuracy and completeness
of risk reports and other
business reports"
Reports to management,"Reports to Board Risk Management
Committee","Reports to Board Audit and
Risk Committee, full Board and
Shareholders"
