A) STATEMENT OF COMPREHENSIVE INCOME,EQUITY FUND,Column,MONEY MARKET FUND,Column,DOLLAR INVESTMENT FUND,Column,BASKET FUND KES,Column,BASKET FUND USD
,"31st Dec, 2022
Audited
Shs ‘000","31st Dec, 2021
Audited
Shs ‘000
1,157
2,838","31st Dec, 2022
Audited
Shs ‘000","31st Dec, 2021
Audited
Shs ‘000
1,292,548
-","31st Dec, 2022
Audited
Usd","31st Dec, 2021
Audited
Usd
688,636
-","31st Dec, 2022
Audited
Shs ‘000","31st Dec, 2021
Audited
Shs ‘000
-
-","31st Dec, 2022
Audited
Usd"
,"1,797",,"1,781,879",,"1,905,179",,"260,742",,"75,281"
,"3,972",,-,,-,,-,,-
,"5,769","3,995
7,304","1,781,879","1,292,548
(6,843)","1,905,179","688,636
(352,559)","260,742","-
-","75,281"
,"(11,674)",,"(479,986)",,"(2,510,105)",,"(38,177)",,"1,687"
,"(5,905)","11,299","1,301,893","1,285,705","(604,926)","336,077","222,565",-,"76,968"
,"2,836","3,0509
8","428,651","357,214
3,436","343,138","284,932
490","37,160","-
-","8,933"
,5,,"2,069",,-,,382,,-
,"2,841","3,058
8,241","430,720","925,055
-","(948,064)","50,655
-","37,542","-
-","8,933"
,"(8,746)",,"871,173",,-,,"185,023",,"68,034"
,-,"-
8,241
-
8,241",-,"-
925,055
-
925,055",-,"-
50,655
-
50,655",-,"-
-
-
-",-
,"(8,746)",,"871,173",,"(948,064)",,"185,023",,"68,034"
,-,,-,,-,,-,,-
,"(8,746)",,"871,173",,"(948,064)",,"185,023",,"68,034"
B) STATEMENT OF FINANCIAL POSITION,,,,,,,,,
,,"64,128
-
-
16,598
-
-",,"-
10,765,632
342,432
4,042,915
-
-",,"-
8,702,173
-
15,646,506
-
515,988",,"-
-
-
-
-
-",
,"55,429",,-,,-,,-,,-
,"1,873",,"12,435,944",,"9,988,485",,"2,289,407",,"901,953"
,-,,"360,190",,-,,"57,741",,-
,"20,062",,"4,295,081",,"17,301,541",,"1,629,133",,"202,053"
,-,,-,,-,,"430,475",,"1,117,381"
,-,,-,,"1,005,183",,-,,-
,"77,364","80,726","17,091,215","15,132,979","28,295,209","24,864,667","4,406,756",-,"2,221,387"
,,"500
208
708",,"16,980
-
16,980",,"4,945
-
4,945",,"-
-
-",
,546,,"34,104",,"75,482",,"9,497",,163
,211,,-,,"89,469",,-,,-
,757,,"34,104",,"164,951",,"9,497",,163
,"78,121","81,434","17,125,319","15,149,959","28,460,160","24,869,612","4,416,253",-,"2,221,550"
,,"81,189",,"15,115,008",,"24,809,184",,-,
,"77,879",,"17,086,287",,"28,422,238",,"4,398,067",,"2,212,617"
,"77,879","81,189","17,086,287","15,115,008","28,422,238","24,809,184","4,398,067",-,"2,212,617"
,,"254
254",,"34,951
34,951",,"60,428
60,428",,"-
-",
,242,,"39,032",,"37,922",,"18,186",,"8,933"
,242,,"39,032",,"37,922",,"18,186",,"8,933"
,"78,121","81,434","17,125,319","15,149,959","28,460,160","24,869,612","4,416,253",-,"2,221,550"
