Director,Classification,Designation,Column,Board,Audit,Credit Risk,"Risk
Management","Human Resources
& Compensation",Executive,"Stategy
& Training*","Governance &
Nominations","Information
Communication
& Technology"
"J P M
Ndegwa",Non-executive,"Chairman
Board",Membership,√,,,,,,√,,
,,,Attendance,5/6,,,,,,1/1,,
F M Mbiru,Non-executive,"Chairman
Credit Risk
Committee",Membership,√,√,√,√,√,,√,,
,,,Attendance,5/6,4/4,11/11,2/2,3/3,,1/1,,
J Gachora,Executive,"Group
Managing
Director",Membership,√,,√,,,√,√,,
,,,Attendance,6/6,,10/11,,,3/3,1/1,,
G A Maina,Non-executive,"Chairman
Governance &
Nominations &
Risk Management
Committees",Membership,√,,,√,,√,√,√,
,,,Attendance,6/6,,,2/2,,3/3,1/1,3/3,
F N Mwanzia,Non-executive,"Chairman
Audit Committee",Membership,√,√,√,,,,√,,
,,,Attendance,6/6,4/4,10/11,,,,1/1,,
"A S M
Ndegwa",Non-executive,"Chairman
Executive
Committee",Membership,√,,√,,√,√,√,√,√
,,,Attendance,5/6,,10/11,,3/3,3/3,1/1,3/3,3/3
"I Ochola-
Wilson",Non-executive,"Chairman
Human
Resources and
Compensation
Committee",Membership,√,√,,√,√,,√,,
,,,Attendance,6/6,4/4,,2/2,3/3,,1/1,,
A Dodd,Executive,,Membership,√,,√,,,√,√,,
,,,Attendance,6/6,,11/11,,,3/3,1/1,,
K Thuo,Non-Executive,,Membership,√,√,,,,,√,,√
,,,Attendance,5/6,4/4,,,,,1/1,,2/3
P Shah,Non-Executive,,Membership,√,,√,,,√,√,√,√
,,,Attendance,5/6,,7/11,,,3/3,1/1,1/3,1/3
E.Ngaine,Non-Executive,"Chairman
Information,
Communication &
Technology
Committee",Membership,√,,√,,,√,√,√,√
,,,Attendance,6/6,,11/11,,,3/3,1/1,3/3,3/3
