Our Commitment,2023,2024
"We will Grow 10M trees by 2030
through strategic partnerships with
with public and private actors.","344,437 Trees planted with mapping
underway to ensure long-term survival","450,678 trees planted in Kenya,
Uganda and Tanzania."
"We will fully eliminate single use
plastic and recycle 100% of our waste
by 2030","34% of waste recycled at HQs and
pilot branches","73% recycled, in partnership with
TakaTaka Solutions, at our 3 head
offices and our Wabera Street branch
in Nairobi, Kenya.
100% elimination of plastic water
cups at water dispensing points."
"We will green our supply chain and
transform all our corporate gifting to
be sustainable","76.3% reduction in plastic used in
gifting","Continued reduction of plastic usage
in corporate gift wrapping."
