"30th Sept, 2008
Unaudited
Shs '000","30th June, 2008
Unaudited
Shs '000","31st Mar, 2008
Unaudited
Shs '000","31st Dec,2007
Audited
Shs '000","30th Sept, 2007
Unaudited
Shs '000"
"1 ,173,747
2 52,389","1 ,188,612
2 27,823","1,187,253
2 06,558","1 ,156,255
1 88,531","1 ,146,567
1 82,411"
"9 21,358
5 62,362","9 60,789
5 33,781","9 80,695
5 10,107","9 67,724
4 79,884","9 64,156
4 39,450"
"3 58,996","4 27,008","4 70,588","4 87,840","5 24,706"
"3 58,996","4 27,008","4 70,588","4 87,840","5 24,706"
-,-,-,-,-
"8 70,020
3 09,853","8 75,499
2 71,349","5 55,884
3 09,709","4 71,340
3 15,361","5 29,615
2 73,523"
"1 ,179,873","1 ,146,848","865,593","7 86,701","8 03,138"
"6 ,667,168
1 0,406,652","4 ,673,053
6 ,368,708","4,674,302
7,731,971","4 ,550,164
-","3 ,989,382
-"
"1 7,073,820","1 1,041,761","1 2,406,273","4 ,550,164","3 ,989,382"
"4 ,452,222
2 50,000","4 ,384,771
2 50,000","4,282,964
2 50,000","4 ,058,465
2 50,000","2 ,880,068
2 50,000"
"4 ,202,222","4 ,134,771","4,032,964","3 ,808,465","2 ,630,068"
"2 99,613","2 64,036","2 43,609","2 28,182","1 76,342"
"4 ,751,835","4 ,648,806","4,526,572","4 ,286,647","3 ,056,410"
"3 4,602,899
14%
8%","3 0,575,977
15%
8%","2 8,171,550
15%
8%","2 5,625,430
16%
8%","2 4,098,032
11%
8%"
6%,7%,7%,8%,3%
"13%
8%","14%
8%","15%
8%","16%
8%","12%
8%"
5%,6%,7%,8%,4%
"14%
12%","15%
12%","16%
12%","17%
12%","13%
12%"
2%,3%,4%,5%,1%
"25%
20%","30%
20%","31%
20%","29%
20%","32%
20%"
5%,10%,11%,9%,12%
