Employees,Responsible for delivering on our strategy
How we engaged,Overview
Employee surveys,"We actively engaged our employees through regular communication
forums, training sessions, and feedback mechanisms. By creating
open channels for dialogue, recognizing contributions, and providing
opportunities for professional growth, we strengthened our internal culture
and aligned our teams around shared goals. Employee engagement
initiatives also included wellness programs, leadership development, and
platforms for innovation, ensuring that every voice had an opportunity to
shape our collective progress."
Various staff events,
GMD’s Townhall,
NCBA Learning Platform,
Communities,"The people and groups that are indirectly or directly impacted by our
operations, products and services"
How we engaged,Overview
"Collaborations with our various partners in
implementing Change the Story","Working with our strategic partners, we continued to contribute to
positive environmental and social impacts by addressing key societal
challenges such as financial inclusion, climate action and economic
empowerment."
Employee volunteering,"NCBA employees contributed to community well-being through
financial literacy training, environmental conservation projects, and
various mentorship programs."
Sponsorships,"We supported various impactful community programs in education,
sustainability, sports, and entrepreneurship. In 2024, NCBA Group
injected over KES 100 million to over 80 community engagements, in our
markets of operation, impacting more than 5000 people through our
projects."
Suppliers,Organisations that deliver our goods and services
How we engaged,Overview
Supplier Diversity Assessment,"We continued to encourage our suppliers to submit AGPO certificates
where relevant to enable us to track our diverse spend."
