Climate risks' Materiality,Column,Column,Column,Column,Column
"Climate Risk
Type",Sub-Type,Climate-related risks,"Specific impact that climate-related risk will have on
NCBA Loan Book over the given horizon.",,
,,,"Short-term
time horizon","Medium-term
time horizon","Long-term time
horizon"
"Transition
Risk","Policy and
Legal","Increased GHG emissions
pricing in order to incentivise
movement to renewable
energy sources.",Medium,Medium,High
,,"Stricter emission
reporting requirements",Medium,High,High
,,"Enhanced regulatory
environment and mandated
requirements: may introduce
minimum standards/ green
credentials",Medium,Medium,High
,,"Regulation of financial
product or service such as
taxonomy reporting",High,High,High
,,"Loss and damage emerging
legal cases/ compensation",Low,Medium,High
,,GHG emission quotas,Low,Medium,Medium
,Technology,"Substitution of technology,
including requirements to
replace manufacturing
technology to cleaner
alternatives.",Low,Medium,High
,,"Higher cost associated with
low carbon technology",Medium,Medium,Medium
,,"Investment in technology to
climate proof infrastructure",Medium,Medium,High
,,"Low return or low viability
from new technologies",Medium,Medium,Medium
,Market,"Increased volatility and costs,
sourcing restrictions for
carbon heavy raw materials.",Medium,Medium,High
,,"Limited supply and increased
demand of energy efficient
and low flood risk properties.",Medium,High,High
,,"Change in consumer
behaviours including
deliberate move to lower-
carbon footprint products.",Low,Medium,Medium
