III OTHER DISCLOSURES,BANK,Column,Column,Column,Column,COMPANY,Column,Column,Column,Column,GROUP CONSOLIDATED,Column,Column,Column,Column
,"30 Sep,
2025
Un-audited
Shs ‘000","30 June,
2025
Un-audited
Shs ‘000","31 March,
2025
Un-audited
Shs ‘000","31 Dec,
2024
Audited
Shs ‘000","30 Sep,
2024
Un-audited
Shs ‘000","30 Sep,
2025
Un-audited
Shs ‘000","30 June,
2025
Un-audited
Shs ‘000","31 March,
2025
Un-audited
Shs ‘000","31 Dec,
2024
Audited
Shs ‘000","30 Sep,
2024
Un-audited
Shs ‘000","30 Sep,
2025
Un-audited
Shs ‘000","30 June, 2025
Un-audited
Shs ‘000","31 March,
2025
Un-audited
Shs ‘000","31 Dec,
2024
Audited
Shs ‘000","30 Sep,
2024
Un-audited
Shs ‘000"
,,"36,767,253 35,999,629 35,511,838 38,777,456
11,040,337 10,047,860 10,490,918 11,622,573",,,,,"- - - -
- - - -",,,,,,,,
,"37,184,051",,,,,-,,,,,"38,682,787",,,,
,"11,691,418",,,,,-,,,,,"11,870,011",,,,
,"25,492,633","25,726,916 25,951,769 25,020,920 27,154,883",,,,-,- - - -,,,,"26,812,776",,,,
,"13,866,931","12,914,841 12,381,303 10,318,955 11,010,221",,,,-,- - - -,,,,"14,790,456",,,,
,"11,625,702","12,812,075 13,570,466 14,701,965 16,144,662",,,,-,- - - -,,,,"12,022,320",,,,
,"11,625,702","12,812,075 13,570,466 14,701,965 16,144,662",,,,-,- - - -,,,,"12,022,320",,,,
,-,- - - -,,,,-,- - - -,,,,-,,,,
,,"25,724,085 24,309,925 22,021,751 22,056,724
7,564,797 7,418,958 7,448,251 7,232,218",,,,,"- - - -
- - - -",,,,,,,,
,"24,100,973",,,,,-,,,,,"24,364,090",,,,
,"7,859,622",,,,,-,,,,,"8,782,317",,,,
,"31,960,595","33,288,882 31,728,883 29,470,002 29,288,942",,,,-,- - - -,,,,"33,146,407",,,,
,,"53,402,509 49,613,923 45,454,432 48,662,424
3,586,727 1,837,741 1,032,086 4,250,857
- - - -",,,,,"- - - -
- - - -
- - - -",,,,,,,,
,"47,757,377",,,,,-,,,,,"56,496,634",,,,
,"2,310,828",,,,,-,,,,,"2,310,828",,,,
,-,,,,,-,,,,,"2,130,349",,,,
,"50,068,205","56,989,236 51,451,664 46,486,518 52,913,281",,,,-,- - - -,,,,"60,937,811",,,,
,,"93,545,577 91,313,340 89,085,488 84,084,531
1,000,000 1,000,000 1,000,000 1,000,000",,,,,"- - - -
- - - -",,,,,,,,
,"89,260,003",,,,,-,,,,,"104,183,414",,,,
,"1,000,000",,,,,-,,,,,"1,000,000",,,,
,"88,260,003","92,545,577 90,313,340 88,085,488 83,084,531",,,,-,- - - -,,,,"103,183,414",,,,
,-,- - - -,,,,-,- - - -,,,,"336,503",,,,
,"89,260,003","93,545,577 91,313,340 89,085,488 84,084,531",,,,-,- - - -,,,,"104,519,917",,,,
,"424,620,576","432,830,549 439,925,674 437,823,635 441,219,673",,,,,,,,,"476,023,006",,,,
,20.68%,"21.28% 20.63% 19.82% 18.16%
8.00% 8.00% 8.00% 8.00%",,,,-,"- - - -
- - - -",,,,22.00%,,,,
,8.00%,,,,,-,,,,,8.00%,,,,
,12.68%,13.28% 12.63% 11.82% 10.16%,,,,-,- - - -,,,,14.00%,,,,
,21.02%,"21.61% 20.76% 20.35% 19.06%
10.50% 10.50% 10.50% 10.50%",,,,-,"- - - -
- - - -",,,,21.89%,,,,
,10.50%,,,,,-,,,,,10.50%,,,,
,10.52%,11.11% 10.26% 9.85% 8.56%,,,,-,- - - -,,,,11.39%,,,,
,21.02%,"21.61% 20.76% 20.35% 19.06%
14.50% 14.50% 14.50% 14.50%",,,,-,"- - - -
- - - -",,,,21.96%,,,,
,14.50%,,,,,-,,,,,14.50%,,,,
,6.52%,7.11% 6.26% 5.85% 4.56%,,,,-,- - - -,,,,7.46%,,,,
,,"62.18% 60.00% 56.01% 55.09%
20.00% 20.00% 20.00% 20.00%",,,,,"- - - -
- - - -",,,,,,,,
,63.39%,,,,,-,,,,,58.21%,,,,
,20.00%,,,,,-,,,,,20.00%,,,,
,43.39%,42.18% 40.00% 36.01% 35.09%,,,,-,- - - -,,,,38.21%,,,,
