"30th Sept, 2008
Unaudited
Shs '000","30th June, 2008
Unaudited
Shs '000","31st Mar, 2008
Unaudited
Shs '000","31st Dec,2007
Audited
Shs '000","30th Sept, 2007
Unaudited
Shs '000"
"2 ,436,829
1 76,499
5 4,397
-","1 ,529,419
1 09,746
3 1,180
-","723,576
4 8,896
1 6,498
-","2,543,740
152,064
101,279
2 ,557","1 ,826,259
1 15,889
7 6,033
1 ,539"
"2 ,667,725","1 ,670,345","788,970","2,799,640","2 ,019,720"
"1 ,142,347
5 6,002
2 7,283","698,002
4 8,885
1 8,715","3 27,509
1 5,242
1 1,876","1,098,787
1 8,359
4 4,447","792,624
1 3,320
3 2,201"
"1 ,225,632","765,602","3 54,627","1,161,593","838,145"
"1 ,442,093","904,743","4 34,343","1,638,047","1 ,181,575"
"1 66,064
2 36,703
2 89,695
-
1 00,907","9 0,800
1 50,895
1 93,726
-
7 0,724","3 2,253
7 3,273
1 19,754
-
2 7,979","150,598
273,222
2 06,731
-
113,141","1 01,630
2 05,570
1 60,844
-
7 9,769"
"7 93,369","5 06,145","2 53,259","7 43,692","5 47,813"
"2 ,235,462","1 ,410,888","687,602","2,381,739","1 ,729,388"
"1 39,119
4 45,560
3 2,755
3 8,215
7 2,300
1 4,561
4 42,474","9 4,405
2 87,350
2 2,052
2 3,883
4 6,650
9 ,407
2 76,991","6 4,414
1 36,821
1 0,873
2 0,150
2 2,644
4 ,528
1 27,979","100,067
5 99,392
5 2,042
3 5,070
102,283
26,209
4 18,565","8 5,638
3 76,304
3 3,359
2 9,482
7 4,540
2 0,783
3 75,921"
"1 ,184,984","760,738","3 87,409","1,333,628","996,027"
"1 ,050,478
-","650,150
-","3 00,193
-","1,048,111
-","733,361
-"
"1 ,050,478","650,150","3 00,193","1,048,111","733,361"
"( 315,143)
-","( 195,045)
-","( 90,058)
-","(329,312)
25,639","( 220,121)
-"
"7 35,335","4 55,105","2 10,135","7 44,438","5 13,240"
Shs,Shs,Shs,Shs,Shs
"2.48
-","1 .53
0 .25","0 .71
-","2 .57
0 .80","1 .73
-"
