Strategic Theme,Key Strategic Performance Indicator,Key achievement
"Aggressive deepening of our domi-
nance in
the Kenya Market","• Return on Assets (ROA)
• Return on Equity (ROE)
• Dividend per share
• Market share by asset size
• Market share by Deposit Book.
• Market share by Loan Book.
• Market Capitalization (Kshs. B)
• Market share for all business seg-
ments, product houses and
• Channels.
• Transformation Project Initiatives Imple-
mentation.","• ROA 2.96% (2020: 2.18%)
• ROE 17.3% (2020: 12.7%)
• Dividend per share Kshs.1.00
• Market share top nine Banks
• Asset Size 2021: 12%
• Customer Deposit (2021: 12.6%)
• Net Loans (13.2%)
• Market Capitalization 2021: 76.0 B
(2020: 73 B)
• Our Market share for all business
segments, product houses and Chan-
nels maintained a positive outlook.
• Most Sustainable Bank (Kenya
Bankers Catalyst Awards 2020)
• We continued with Transformation, an
efficiency and growth project that we
began in 2014 and it continues to be
a key strategic enabler in every area
of our Business. See the section below
for details.
• Undertook a Credit Risk Adaptation
Project aimed at End-to-end assess-
ment of credit risk, strengthen portfo-
lio assessment and risk frameworks,
enhance Collections (detailed later in
this section of the report)"
"Dominant provider of financial ser-
vices to the Co-operative Movement
in Kenya and the region","• Successful implementation of the Digital
Co-operatives project.
• Co-operatives deposit growth
• Co-operatives Loan book growth
• Co-operative Bank of South Sudan perfor-
mance","• Implementation of the Digital strategy
for Co-operatives is on track. We have
specific focus on Co-operatives as
detailed in the section below on our
Transformation Project.
• The Co-operatives deposits and loan
book grew in 2021.
• Co-operative Bank of South Sudan
monetary loss of Kshs.421.7M (1.65Bn
loss in 2020)"
"Customer experience that is seam-
less across all our touch points.","• Digitization of customer journeys.
• Staff training on DCE (Distinctive Customer
Experience)
• Customer Centric Model","• We continued implementing key cus-
tomer journey digitization journeys to
meet customer expectations (94% of
transactions were on digital channels).
Key customer project rolled out was
the Omnichannel (Discussed in the
Capitals Section of this report)
• 1722 Staff members underwent train-
ing virtually and at our Leadership
and management Centre on Distinc-
tive Customer Experience.
• We sustained our focus on customer
centricity in our business model."
