Column,FY2022,FY2021,YoY Change
Total Interest Income 61.7 55.6 11.0%,,,
Total Interest Expenses 16.2 14.6 11.0%,,,
Net Interest Income 45.5 41.0 10.9%,,,
Fees and commissions on loans and advances 7.5 5.4 38.7%,,,
Other Fees and commissions 12.6 9.8 28.0%,,,
Foreign exchange trading income 4.7 2.8 65.6%,,,
Other income 0.9 1.3 -28.9%,,,
Total Operating Income 71.3 60.4 17.9%,,,
Loan loss provision 8.7 7.9 9.4%,,,
Staff costs 14.8 13.3 11.0%,,,
Other operating expenses 18.8 16.8 11.6%,,,
Total Operating expenses 42.2 38.1 10.9%,,,
Profit before tax and exceptional items 29.0 22.3 29.8%,,,
Exceptional items-Share of profit of associate 0.4 0.3 36.2%,,,
Profit Before Tax 29.4 22.6 29.9%,,,
Income tax 7.4 6.1 21.0%,,,
Profit After Tax 22.0 16.5 33.2%,,,
