Guideline,Status,Remark
"Maintain appropriate distances between co-workers
and clients whenever possible",Achieved,"The Bank has ensured that social distancing has been
maintained between co-workers and clients by limiting
staff concentration in offices and banking halls."
"Maintain social distancing measures in communal
areas or close the for the duration of the pandemic",Achieved,"Among other measures, the bank shut down its training
school at Karen where meals used to be served during the
training sessions."
"Stagger shifts and rotate staff members on leave to
reduce the number of people in the office at any given
time",Achieved,"The Bank introduced a Work From Home program that
ensures that 50% of the teams in all units are working
from home while the other 50% is in office. This is done
interchangeably on a weekly basis."
"Limit external visitors and request that they abide by all
workplace safety protocols whilst in the premise",Achieved,"The number of external visitors has been limited to
those that must be seen physically. Those that must visit
the offices particularly for Head Office have to abide by
the safety protocols put in place. Additionally, the bank
encouraged its customers to leverage the use of alternative
banking channels in a bid to limit physical branch visits."
"All workers must always wear masks while at the
workplace.",Achieved,"The Bank is providing protective gear like masks for
all members of staff. Gloves and dust coats have been
provided for front office staff as well as cash centres.
No one is allowed into any bank office (Head Office and
branches) without a mask."
"Provide easily accessible hand washing stations for
employees.",Achieved,"This has been availed in all bank offices along with hand
sanitization stations."
"Cleaning of high traffic areas, equipment and surfaces
preferably 3-4 times a day.",Achieved,"This has been effected in all bank offices. This is for desks,
doorknobs, telephone handsets by using appropriate
disinfectants."
"Assign cleaners to clean specific areas on the premises
(not on rotation to different areas)",Achieved,"This has been effected in all bank offices where each area
(could be per floor or branch) has specific cleaners"
"Take temperature of employees using infrared
thermometers before entry",Achieved,"All incoming staff and visitors are scanned at the main
reception of all office buildings and all branch entrances.
Guards have also been trained by a medic on handling any
issues arising from their work stations."
