Column,FY2021,FY2020,YoY Change
Total Interest Income,55.6,48.8,13.9%
Total Interest Expenses,14.6,12.5,17.0%
Net Interest Income,41.0,36.3,12.9%
Fees and commissions,15.2,12.9,18.1%
Forex Income,2.8,2.8,0.4%
Other income,1.3,1.7,-24.6%
Total Operating Income,60.4,53.8,12.3%
Loan loss provision,7.9,8.1,-2.3%
Staff costs,13.3,13.4,-0.7%
Other operating expenses,16.8,17.9,-5.7%
Total other operating expenses,38.1,39.4,-3.3%
Profit before tax and exceptional items,22.3,14.4,54.8%
Exceptional items-Share of profit of associate,0.3,-0.1,303.8%
Profit before tax,22.6,14.3,58.6%
Tax,6.1,3.5,76.0%
Profit after tax,16.5,10.8,53.0%
Earnings per share,2.8,1.8,53.0%
