New standards or amendments,"Effective for annual period
beginning on or after"
IFRS 17 Insurance Contracts and amendments to IFRS 17 Insurance Contracts,1 January 2023
Disclosure of Accounting Policies - Amendments to IAS 1 and IFRS Practice Statement 2,1 January 2023
Definition of Accounting Estimates (Amendments to IAS 8),1 January 2023
"Deferred Tax related to Assets and Liabilities arising from a Single Transaction
(Amendments to IAS 12)",1 January 2023
International Tax Reform - Pillar two model rules - Amendment to IAS 12,1 January 2023
