Column,Q32023,Q32022,YoY Change
Total Interest Income,49.4,43.7,12.9%
Total Interest Expenses,16.5,11.7,41.3%
Net Interest Income,32.8,32.0,2.5%
Fees and commissions on loans and advances,9.1,8.4,8.2%
Other Fees and commissions,8.5,7.9,7.4%
Foreign exchange trading income,2.5,3.3,-25.0%
Other income,0.50,0.55,-8.4%
Total Operating Income,53.4,52.2,2.3%
Loan loss provision,4.2,5.7,-26.5%
Staff costs,12.2,10.8,12.4%
Other operating expenses,12.6,13.1,-3.5%
Total Operating expenses,29.0,29.6,-2.1%
Profit before tax and exceptional items,24.4,22.6,8.1%
Exceptional items-Share of profit of associate,0.3,0.2,83.3%
Profit Before Tax,24.7,22.7,8.6%
Income tax,6.3,5.6,11.7%
Profit After Tax,18.4,17.1,7.6%
