"2011
KShs’000
16,875,486
(4,505,915)",Column,"2011
KShs’000
16,858,803
(4,505,915)"
"12,369,571
5,569,407
1,013,213
(651,085)
(24,853)
(136,135)
20,447
175,286","9,502,508
4,384,518
621,201
594,651
197,406
-
20,447
351,183","12,352,888
5,307,982
1,013,213
(657,104)
(24,853)
(136,889)
20,447
195,140"
"18,335,851","15,671,914","18,070,824"
"709,903
11,417,329","798,666
9,230,607","709,903
11,193,153"
"12,127,232","10,029,273","11,903,056"
"6,208,619
153,943","5,642,641
129,977","6,167,768
-"
"6,362,562
(999,960)
5,362,602","5,772,618
(1,191,920)
4,580,698","6,167,768
(981,425)
5,186,343"
"5,357,212
5,390","4,568,580
12,118","5,186,343
-"
"5,362,602","4,580,698","5,186,343"
"1.53
1.28",,"1.49
1.24"
