Column,Q12017,%,Q12016,%,FY2016,%
Normal,"208,056",82.2%,"192,738",88.2%,"196,708",80.5%
Watch,"33,886",13.4%,"17,279",7.9%,"36,475",14.9%
Substandard,"7,621",3.0%,"4,197",1.9%,"5,857",2.4%
Doubtful,"2,974",1.2%,"3,738",1.7%,"4,741",1.9%
Loss,640,0.3%,646,0.3%,675,0.3%
TOTAL,"253,177",100.0%,"218,598",100.0%,"244,456",100.0%
