Column,Q12019,%,Q12018,%,FY2018,%
Normal,"209,144",78%,"208,847",7%,"200,946",77%
Watch,"29,867",11%,"29,274",11%,"29,723",11%
Substandard,"10,472",4%,"15,043",6%,"10,434",4%
Doubtful,"18,206",7%,"12,716",5%,"17,977",7%
Loss,557,0%,558,0%,542,0%
TOTAL (GROSS),"268,245",100%,"266,438",100%,"259,621",100%
Provisions,"18,448",,"15,219",,"16,075",
NET LOAN BOOK,"249,799",,"251,219",,"243,546",
"Gross Non-
performing loans","29,235",,"28,953",,"28,316",
