"373,831,866","3,738,319",Column,"(3,738,319)",Column,Column
"49,309,553","(493,096)",,"493,096",,
,"3,245,223",,"(3,245,223)",,
,"2,271,656",,"(2,271,656)",,
"98,695,811","986,958",,"(986,958)",,
,"3,258",",614","(3,2","58,61",4)
,,,,1,
