Column,FY2022,FY2021,Growth,Column
,Kshs '000',Kshs '000',Kshs '000',%
Co-operative Bank of Kenya Ltd (COBK),"26,871,740","21,325,327","5,546,414",26.0%
Co-operative Bank of South Sudan (COBSS),"132,725","(421,683)","554,409",131.0%
Co-optrust Investment Services Ltd (CISL),"208,140","140,362","67,779",48.0%
Co-op Consultancy & Bancassurance Intermediary Ltd (CCBI),"1,013,159","803,930","209,229",26.0%
Kingdom Securities Ltd (KSL),"10,658",703,"9,955",1416.0%
Kingdom Bank Ltd,"792,556","549,549","243,006",44.0%
Co-op Bank and Subsidiaries Total,"29,028,978","22,398,187","6,630,791",30.0%
Associates share of profit,"398,245","250,675","147,569",58.9%
Group Profit Before Tax,"29,427,223","22,648,862","6,778,361",30.0%
Income Tax Expense,"7,389,055","6,104,960","1,284,095",21.0%
Group Profit after Tax,"22,038,168","16,543,902","5,494,266",33.2%
