"Monthly
Retainer","Sitting
Allowance","Travelling
Facilitation",Honorarium,"Responsibility
Allowance","Housing
Allowance","CEO Annual
Remuneration","Total
2021","Total
2020"
4.51,0.5,0.68,4.86,6.17,2.98,-,19.70,19.43
4.79,1.04,0.69,4.43,2.64,1.32,-,14.91,14.26
1.69,0.59,1.02,4.14,2.29,1.04,-,10.77,10.65
1.45,0.57,0.88,4.14,-,-,-,7.04,6.83
1.45,0.64,1.72,4.14,-,-,-,7.95,8.22
1.45,0.48,0.85,4.14,-,-,-,6.92,6.82
1.45,0.5,0.84,4.14,-,-,-,6.93,3.24
1.45,0.31,1.06,4.14,-,-,-,6.96,6.96
1.45,0.54,1.57,4.14,-,-,-,7.70,7.83
1.45,0.31,1.38,4.14,-,-,-,7.28,7.29
1.45,0.31,1.27,4.14,-,-,-,7.17,7.13
1.45,0.31,1.12,4.14,-,-,-,7.02,6.96
2.09,0.5,0.77,4.14,-,-,-,7.50,7.07
2.09,0.5,0.98,4.14,-,-,-,7.71,7.27
2.09,0.5,0.97,4.14,-,-,-,7.70,7.26
2.09,0.5,0.93,4.14,-,-,-,7.66,7.22
2.09,0.5,0.98,4.14,-,-,-,7.71,7.27
2.09,0.5,0.77,4.14,-,-,-,7.50,7.07
0.95,0.27,0.74,1.43,-,-,-,3.39,-
1.13,0.23,0.04,5.57,-,-,-,6.97,7.07
-,-,-,-,-,-,-,-,18.27
-,-,-,-,5.76,-,124.94,130.7,117.04
38.66,9.6,19.26,82.53,16.86,5.34,124.94,297.19,291.16
