Column,FY2021,FY2020,YoY Change
Total Assets,579.8,536.9,8%
Loan book (Net),310.2,286.6,8%
Government Securities,184.1,161.9,14%
Total Deposits,408.5,378.9,8%
Borrowed Funds,42.9,46.0,-7%
Shareholders Funds,100.2,90.7,10%
