SECTOR,2021,Q1 2022,Q2 2022,"2022
PROJECTION"
Agriculture,-0.2,-0.1,-2.1,1.0
Mining and Quarrying,18.0,22.1,22.6,11.8
Manufacturing,6.9,3.7,3.6,3.5
Electricity and Water Supply,5.0,1.9,5.0,4.8
Construction,6.6,6.4,5.8,5.2
"Wholesale and Retail Trade, Repairs",7.9,8.7,8.2,6.8
Accommodation and Restaurants,52.5,56.2,22.0,25.4
Transport & storage,7.2,8.1,7.1,6.0
Information & Comm,8.8,6.1,6.6,7.5
Financial and Insurance,12.5,14.4,4.2,7.1
Public Administration,5.6,6.4,11.6,5.6
"Professional, Admin & support services",5.7,14.9,11.2,6.4
Real Estate,6.7,6.1,5.5,5.4
Education,21.4,6.2,6.7,5.1
Health,6.0,5.0,4.8,5.0
Other Services,12.6,11.1,6.7,4.2
Real GDP Growth,7.5,6.8,5.2,5.4
IMF October 2022 Forecast,,,,5.3
