Category,"Risk
Subcategory",Risk Description,"Key Risk
Indicators",Our Risk Mitigation Strategies
"Liquidity
Risk",Funding risk,"Risk of loss due
to inability to
meet funding
obligations","Liquidity coverage
ratio, funding gap
analysis, deposit
run-off rate","• Robust liquidity risk management framework.
• Active monitoring and control of liquidity risk exposures
and funding needs.
• Funding strategy focused on diversification in the sources
and tenor of funding.
• Stress testing and Contingency Funding Plan."
,"Market
liquidity risk","Risk of loss due
to inability to sell
assets or access
funding in a timely
manner","Market liquidity
ratios, value-at-
risk, exposure to
illiquid markets","• Portfolio limits to ensure adequate holding of high liquid
assets.
• Monitoring and reporting of market conditions to ALCO."
,Contagion risk,"Risk of liquidity
problems
spreading from
one entity to
another","Interconnectedness
of financial
institutions, credit
ratings, market
sentiment","• Monitoring and reporting of market conditions to ALCO.
• Interbank limits.
• Daily monitoring of exposures."
,Run risk,"Risk of sudden and
large withdrawals
of deposits or
other funding
sources","Depositor
behaviour, market
rumours, news
events","• Good governance and ethical practices.
• Proactive monitoring and response to market
developments.
• Stress testing"
"Market
Risk","Interest rate
risk","Risk of loss due to
changes in interest
rates","Exposure to
interest rate-
sensitive assets and
liabilities, value-
at-risk, earnings
at risk","• Comprehensive interest rate risk management
framework.
• IRR limits, GAP and duration analysis.
• Sensitivity analysis and stress testing.
• Funds Transfer Pricing (FTP)."
,Currency risk,"Risk of loss due
to changes in
currency exchange
rates","Exposure to
foreign currency-
denominated
assets and
liabilities, value-at-
risk (VAR), earnings
at risk","• Risk limits and monitoring framework.
• Formal separation of front office and back-office
operations.
• VAR calculation and back testing.
• Availability of appropriate skills and technology.
• Portfolio management and segmentation.
• New and existing product management programs."
,Equity risk,"Risk of loss due to
changes in equity
prices","Exposure to
equities, net open
positions, value-
at-risk",• Risk limits and monitoring framework.
,"Commodity
risk","Risk of loss due
to changes in
commodity prices","Exposure to
commodities, net
open positions,
value-at-risk",• Risk limits and monitoring framework.
