Column,Q32017,Q32016,FY2016
Core Capital / Total Deposits (8%),19.8%,18.7%,19.7%
Core Capital / Total Risk weighted Assets (10.5%),15.9%,15.7%,16.1%
Total Capital / Total Risk Weighted Asset (14.5%),22.6%,22.2%,22.7%
Coverage (Loan loss prov+int in sus /Gross NPL) -IFRS,34.7%,42.9%,38.1%
Coverage(Loss loan+int in sus+gen prov)/Gross NPL- CBK,54.2%,71.7%,65.4%
Liquidity (20%),35.0%,37.8%,33.2%
NPL / Total Loans,6.2%,4.0%,4.3%
Loans to Deposits,89.4%,87.1%,89.9%
Loans to Deposits & Borrowed Fund,81.5%,79.1%,83.6%
