Eng. William Mayar Wol*,Chairman
Elijah Wamalwa,Managing Director
Prof. Mathew Gordon Udo*,
Hon. Ocum Genes Karlo*,
John K. Murugu OGW,
Macloud Malonza,
"Dr. Gideon Muriuki, CBS, MBS",
Rosemary Majala Githaiga (Mrs),
