Notes,"2021
(KShs’000)","2020
(KShs’000)"
43,"11,095,956","26,123,591"
24(b),"(5,219,053)","(4,645,404)"
,"5,876,903","21,478,187"
18(b),"(588,983)","(1,056,700)"
16(b),"(575,146)","(1,157,388)"
,"11,630","19,155"
13,"(53,347,960)","(42,941,533)"
13,"53,702,959","43,088,877"
14,"(372,005)","(1,000,000)"
,"(1,169,505)","(3,047,589)"
23,"2,244,426","7,016,096"
23,"(4,652,671)","(13,109,324)"
,"(5,867,180)","(5,867,180)"
,"(1,364,185)","(1,284,428)"
,"(9,639,610)","(13,244,836)"
,"(4,932,212)","5,185,762"
,"22,033,512","16,847,750"
43,"17,101,300","22,033,512"
