Ksh. Billions (except for EPS ),Q2 - 2015,Q2 - 2014,"% Change
(Y/Y)","FY 2014
(audited)"
Interest Income,16.7,13.7,22%,29.4
Interest Expense,4.9,3.7,32%,8.1
Net Interest Income,11.8,9.9,19%,21.3
Fees & Commissions,4.7,4.9,- 4%,8.7
Forex Income,1.01,0.92,10%,1.417
Total Income,17.7,16.2,10%,32.1
Loan Loss Provision,0.67,0.4,67%,1.18
Staff Costs,3.86,4.04,-4%,8.45
Total Operating Expenses,9.0,9.4,-4%,20.1
"Exceptional item, Early retirement costs",0,0,0,1.34
Profit Before Tax,8.8,6.8,30%,10.9
Profit After Tax,6.2,4.7,32%,8.01
Basic EPS,1.28,1.13,13%,1.64
