Column,What we do,What we offer
• Retail and Business Banking Division,"Providing financial solutions to
individual customers, Micro, Small
and Medium Enterprises","➢ D eposit/Instant Access
accounts
➢ S avings Accounts
➢ C urrent accounts
➢ F ixed/Call deposit accounts
➢ F orex products
➢ P ayment solutions
➢ M -Wallet loans
➢ T rade Finance
➢ M SME Loans
➢ P ersonal/Consumer Loans
➢ W orking Capital Loans
➢ A sset Finance
➢ I nsurance Premium
Financing
➢ M ortgage Finance
➢ I nvestment services
➢ B anc Assurance
➢ C onsultancy and capacity
building
➢ S tock Brokerage"
• Corporate and Institutional Banking Division,"Providing financial solutions to;
• Corporates
• Institutions
• Government
• Parastatals
• Non- Governmental Institutions
• International Financial Institutions",
• Co-operatives Division,"Providing financial solutions to;
• Large Saccos
• Housing Saccos
• Agricultural and other Co-operatives
• PSV/ Transport Saccos
• Investment Saccos
• Housing Saccos",
• Co-optrust Investment Services Ltd,Fund Management Services,
• Coop Consultancy and Insurance Agency Ltd,"• Banc Assurance Services
• Consultancy and capacity building
services to Co-operative Societies",
• Kingdom Securities Ltd,Stock Brokerage Services,
• Co-op Bank Fleet Africa Leasing Limited,Leasing solutions,
