"(2,576,292)","(159,462)","(2,735,754)"
"(584,057)","(11,028)","(595,085)"
"(23,029,495)","(760,762)","(23,790,257)"
-,"(409,716)","(409,716)"
"21,017,318","(351,599)","20,665,719"
"33,145","6,890","40,035"
"21,050,463","(344,709)","20,705,754"
"(6,319,348)","(75,158)","(6,394,506)"
"14,731,115","(419,867)","14,311,248"
"358,026,217","6,255,040","364,281,257"
"91,337,350","1,474,379","92,811,729"
"449,363,567","7,729,419","457,092,986"
"372,057,659","4,621,850","376,679,509"
"77,305,908","3,107,569","80,413,477"
