Column,Q1 2015,Q1 - 2014,FY 2014
Core Capital / Total Deposits (10.5%),16.5%,17.5%,17.1%
Core Capital / Total Risk weighted Assets (10.5%),14%,14.6%,14.6%
Total Capital / Total Risk Weighted Asset (14.5%),20.9%,20.5%,21.6%
Coverage (Loan loss prov+int in sus /Gross NPL) -IFRS,33%,42%,30%
Coverage(Loss loan+int in sus+gen prov)/Gross NPL- CBK,59%,67%,55%
Liquidity (20%),39.7%,32.7%,33.8%
NPL / Total Loans,3.9%,3.9%,4.1%
Loans to Deposits,78%,84%,85%
