ASSET BOOK,KSh million,%
"Corporate 18,416.00 22.9%",,
Mortgage 819.70 1.0%,,
"MCU 2,275.50 2.8%",,
"SME 3,154.20 3.9%",,
"Asset Finance 2,584.67 3.2%",,
"Personal 30,896.87 38.4%",,
"Agri-business 4,538.60 5.6%",,
"Sacco Banking Loans 17,835.50 22.2%",,
"Total (Net) 80,521.05 100%",,
