Group,Column,Bank,Column
2020,2019,2020,2019
KShs’000,KShs’000,KShs’000,KShs’000
"51,177,008","40,755,000","51,177,008","40,755,000"
"82,597,647","62,717,083","79,821,868","62,920,566"
"116,265,927","104,488,507","116,475,450","104,488,654"
"21,139,822","19,672,150","19,438,143","18,746,797"
"105,372,765","103,815,175","100,439,902","101,091,373"
"2,077,284","1,376,002","2,077,282","1,376,002"
"378,630,453","332,823,917","369,429,653","329,378,392"
"45,172,489","46,871,654","35,762,166","44,148,001"
"7,017,935","5,405,679","7,017,935","5,405,678"
"18,143,159","17,580,001","18,143,159","17,580,001"
"70,333,583","69,857,334","60,923,260","67,133,680"
"182,672,694","165,699,093","182,882,219","165,001,796"
"44,562,163","35,643,246","44,562,163","35,643,246"
"81,062,013","61,624,244","81,062,011","61,599,670"
"308,296,870","262,966,583","308,506,393","262,244,712"
"378,630,453","332,823,917","369,429,653","329,378,392"
