"Kingdom Securities
Limited","Co-operative Bank of South
Sudan"
2019,2019
KShs’000,KShs’000
"69,681","1,029,007"
"(3,674)","(39,638)"
"66,007","989,369"
"(92,814)","(931,252)"
-,"(409,716)"
"(26,807)","(351,599)"
,"6,890"
"(2,769)","(75,158)"
"(29,576)","(419,867)"
"(11,200)","7,686"
"(40,776)","(412,181)"
"(16,310)","(201,969)"
