COMPANY,"PROFIT BEFORE TAX
2016","PROFIT BEFORE
TAX
2015",%
,KShs’000,KShs’000,KShs’000
The Co-operative Bank of Kenya Limited,"18,020,405","14,071,456",28%
Co-op Consultancy & Ins Agency Limited,"197,622","176,481",12%
Co-op trust Investments Limited,"69,406","65,059",7%
Kingdom Securities Limited,"(20,163)","1,574",-1381%
Co-Operative Bank of South Sudan,"(568,406)","752,937",-175%
Total PBT before eliminations,"17,698,863","15,067,507",17.5%
Add: Share of profit from associates,"97,546","384,991",-75%
Less: Dividends received from CIC,"(72,876)","(69,407)",5%
Group profit before tax,"17,723,532","15,383,092",15%
Income tax expense,"(5,047,322)","(3,677,533)",37%
Group profit after tax,"12,676,210","11,705,559",8.5%
