Column,FY 2016,FY2015
Cost to Income(Excluding Provisions),52.1%,53.2%
Cost to Income (Including Provisions),58.3%,58.8%
Cost of funds,4.5%,5.2%
Staff Cost to Total Income,22.2%,24.5%
Debt to Equity,32.3%,38.4%
Average Return on Equity,22.7%,25.0%
Average Return on assets,3.7%,3.7%
FX to Non Funded income,14.1%,24.2%
Non - Funded to Total Income,30.2%,36.2%
Net Interest Margin(loans),10.5%,10.4%
Effective Corporate Tax Rate,31.6%,25.6%
