GROUP,"31-Dec-24
KSHS.’000
Audited
822,372",KINGDOM BANK,"31-Dec-24
KSHS.’000
Audited",CO-OP BANK
"31-Dec-25
KSHS.’000
Audited",,"31-Dec-25
KSHS.’000
Audited",,"31-Dec-25
KSHS.’000
Audited"
,,,,-
"392,181",,,,-
"40,287,434","34,780,319","1,052,669","1,002,023","36,051,257"
"10,992,326","9,876,192
(552,217)","106,786","264,362
188,666","10,059,199"
"(459,420)",,"69,430",,"(461,571)"
"29,754,529","25,456,345","876,453","548,995","26,453,629"
,"15,328,480
-
2,032,282
-",,"1,019,371",
,,,,-
"4,560,707",,"1,119,877",,"2,959,061"
"998,576",,,,"998,576"
"322,481",,,,-
-,,,,-
"5,881,764","17,360,762","1,119,877","1,019,371","3,957,637"
"35,636,293","42,817,107","1,996,330","1,568,366","30,411,266"
,"4.33
4.33
1.50
31-Dec-24
KSHS.'000
Audited
71,079,784
5,115,196
65,964,588
40,337,945
25,626,643
29,787,441",,"31-Dec-24
KSHS.'000
Audited
2,977,825
478,671
2,499,154
867,401
1,631,753
1,545,554",
5.04,,,,4.51
5.04,,,,4.51
2.50,,,,2.50
31-Dec-25,,31-Dec-25,,31-Dec-25
KSHS.'000,,KSHS.'000,,KSHS.'000
Audited,,Audited,,Audited
"73,523,171",,"3,376,944",,"69,081,915"
"4,590,476",,"524,655",,"4,012,930"
"68,932,695",,"2,852,289",,"65,068,985"
"43,945,736",,"673,175",,"42,889,406"
"24,986,959",,"2,179,114",,"22,179,579"
"23,722,042",,"2,071,716",,"20,832,762"
"1,264,917","(4,160,798)","107,398","86,199","1,346,817"
,"8,376,734
12,758,784",,"11,023
348,225",
"11,686,607",,"12,134",,"11,667,122"
"12,552,863",,"481,064",,"12,058,854"
"24,239,470","21,144,569","493,198","359,248","23,725,976"
,"18,011,188
13,119,489
-",,"634,737
-",
"52,592,821",,"657,622",,"51,392,934"
"31,011,298",,"387,600",,"30,623,698"
-,,,,-
"83,604,119","31,130,677","1,045,222","634,737","82,016,632"
"137,577,352",,"4,884,199",,"126,249,736"
"3,000,000",,"3,000,000",,"3,000,000"
"134,577,352",,"1,884,199",,"123,249,736"
"15,476,969",,"2,442,099",,"15,442,646"
"153,054,321",,"7,326,298",,"141,692,382"
"676,244,016",,"28,434,824",,"638,903,698"
24.0%,,16.3%,,23.4%
8.0%,,8.0%,,8.0%
16.0%,,8.3%,,15.4%
20.3%,,17.2%,,19.8%
10.5%,,10.5%,,10.5%
9.8%,,6.7%,,9.3%
22.6%,,25.8%,,22.2%
14.5%,,14.5%,,14.5%
8.1%,,11.3%,,7.7%
60.0%,,69.8%,,57.3%
20.0%,,20.0%,,20.0%
40.0%,,49.8%,,37.3%
