Column,Q22017,Q22016,FY2016
Cost to Income(Excluding Provisions),47.9%,45.3%,52.1%
Cost to Income (Including Provisions),55.3%,51.4%,58.3%
Cost of funds,3.9%,5.0%,4.5%
Staff Cost to Total Income,23.0%,20.4%,22.2%
Debt to Equity,37.8%,25.5%,32.3%
Average Return on Equity,21.7%,28.2%,22.7%
Average Return on assets,3.6%,4.3%,3.7%
FX to Non Funded income,17.5%,14.2%,14.1%
Non - Funded to Total Income,34.6%,32.1%,30.2%
Net Interest Margin(loans),9.0%,10.8%,10.5%
Net Interest Margin(Earning Assets),8.1%,9.7%,9.8%
Effective Corporate Tax Rate,28.4%,29.1%,31.6%
