Group,Column,Bank,Column
2020,2019,2020,2019
KShs’000,KShs’000,KShs’000,KShs’000
"13,941,614","13,325,094","13,941,614","13,325,094"
"17,642,605","24,670,289","17,604,823","24,670,289"
"1,001,156",-,"1,001,156",-
"65,582,298","38,876,142","44,235,122","38,724,279"
-,-,-,-
"733,871","973,971","733,871","973,971"
"98,901,544","77,845,496","77,516,586","77,693,633"
"77,845,496","52,092,150","77,693,633","51,935,363"
"64,288,709","59,210,392","42,941,533","59,212,027"
"(34,161)","(251,103)","(29,703)","(253,709)"
"(43,198,500)","(33,205,943)","(43,088,877)","(33,200,048)"
"98,901,544","77,845,496","77,516,586","77,693,633"
