Column,2020,2019
Notes,KShs’000,KShs’000
33,"46,613,399","44,245,251"
34,"(12,494,876)","(12,583,644)"
,"34,118,523","31,661,607"
35,"10,976,392","11,316,397"
35,"(319,367)","(118,546)"
,"10,657,025","11,197,851"
36,"2,305,791","1,933,761"
27,"18,475","18,476"
37,"3,419,601","1,229,045"
,"5,743,867","3,181,282"
,"50,519,415","46,040,740"
12(c),"(7,516,667)","(2,459,898)"
40,"(580,990)","(196,362)"
16(b),"(700,218)","(568,045)"
17,(610),(610)
18(b),"(1,323,247)","(1,362,371)"
19(b),"(1,196,781)","(1,120,094)"
38,"(12,455,467)","(11,847,149)"
39,"(9,784,805)","(8,160,147)"
,"(33,558,785)","(25,714,676)"
,"16,960,630","20,326,064"
24(a),"(3,241,362)","(6,070,637)"
,"13,719,268","14,255,427"
41,2.34,2.43
41,2.34,2.43
