REAL GDP GROWTH BY SECTOR (%),Column,Column,Column,Column,Column
SECTOR,2022,2022,2022,2023,2023
,Q2,Q3,Q4,Q1,Q2
Agriculture,-2.4,-1.3,-0.9,6,7.7
"Non-Agriculture (o/w)
Industry
Mining & Quarrying
Manufacturing
Electricity & water supply
Construction
Services","7.1 5.3 4.6 5.3 4.9
5 2.6 2.4 2.5 2
16.6 -4.5 1.6 3.3 5.3
3.6 1.8 1.8 2 1.5
5.6 6 4.9 2.5 0.8
4.5 3.5 2.4 3.1 2.6
8 5.9 5.2 6.3 5.9",,,,
Wholesale & Retail Trade,4.1,3.6,2.7,5.7,4.2
"Accommodation & Food Services
Transport & Storage
Information & Communication
Financial & Insurance","44 16.9 14.9 21.5 12.2
7.2 5.1 2.7 6.2 3
11.2 11.8 8 9 6.4
16.1 9.6 9.4 5.8 13.5",,,,
Public administration,3.8,3.4,4.7,6.6,3.8
Professional Services,10.9 9 5.3 7.3 5.5,,,,
Real estate,5,4,2.9,5.2,5.8
Education,4.4,3.9,6.1,3.6,4.5
"Health
Real GDP Growth","4.4 3.7 4.3 5.4 5
5.2 4.3 3.7 5.5 5.4",,,,
