Column,Q22023,Q22022,Growth,Growth
,KShs '000',KShs '000',KShs '000',%
Co-operative Bank of Kenya Ltd,"15,125,220","14,032,110","1,093,109",8%
Co-operative Bank of South Sudan,"(36,495)","55,526","(92,021)",-166%
Co-opTrust Investment Services Ltd,"106,773","85,743","21,030",25%
Co-op Consultancy & Bancassurance Agency Ltd,"591,273","593,283","(2,010)",0%
Kingdom Securities Ltd,"7,765","7,259",506,7%
Kingdom Bank Ltd,"525,199","421,677","103,522",25%
Co-op Bank and Subsidiaries Total,"16,319,735","15,195,599","1,124,136",7%
Associates share of profit,"87,392","87,913",(521),-1%
Group Profit before Tax,"16,407,127","15,283,512","1,123,615",7%
Income Tax Expense,"4,266,281","3,815,307","450,974",12%
Group Profit after Tax,"12,140,845","11,468,205","672,640",6%
