Description,Number of Shares,% shareholding
"Co-opholdings
Co-operative Society
Limited *","2,254,592,500 ordinary
shares of par value
Kshs.1 each",76.8%
,"680,535,100 ordinary
shares of par value
Kshs.1 each",
Total,"2,935,127,600 ordinary
shares of par value
Kshs.1 each",100%
