Notes,"2023
KShs‘000","2022
KShs‘000"
44,"46,205,407","3,858,979"
25(b),"(9,117,672)","(9,116,223)"
,"37,087,735","(5,257,244)"
19(b),"(1,434,184)","(1,281,311)"
17(b),"(1,111,461)","(869,697)"
,"1,980",–
14,"(74,008,250)","(54,653,643)"
14,"57,053,817","64,744,332"
,"(19,498,098)","7,939,681"
24,"15,646,180","6,458,253"
24,"(5,168,032)","(4,771,958)"
,"(8,800,770)","(5,867,180)"
20(ii),"(1,138,765)","(1,008,664)"
20(ii),"(339,308)","(182,839)"
,"199,305","(5,372,388)"
,"17,788,941","(2,689,951)"
,"14,411,350","17,101,300"
44,"32,200,291","14,411,350"
