"A Growing Bank
KES Billions Jun 30, 10 Jun 30, 09 (%)
Change
Total Assets 134 93 44%
Loan Book (net) 70 57 23%
Total Deposits 110 74 49%
Shareholders 18 15 20%
Funds
Customer 1,253,239 812,406 54%
Base",Column,Column,Column,Column
,KES Billions,"Jun 30, 10","Jun 30, 09","(%)
Change"
,Total Assets,134,93,44%
,Loan Book (net),70,57,23%
,Total Deposits,110,74,49%
,"Shareholders
Funds",18,15,20%
,"Customer
Base","1,253,239","812,406",54%
