New standards or amendments,Effective for annual,period,beginn,ing on,or aft,er
"Amendments to IAS 1: Classification of Liabilities as Current or
Non-current",,,1,Janua,ry 202,4
Amendments to IFRS 16: Lease Liability in a Sale and Leaseback,,,1,Janua,ry 202,4
Supplier Finance Arrangements - Amendments to IAS 7 and IFRS 7,,,1,Janua,ry 202,4
,,,,,1,
