Column,Q12017,Q12016,FY2016
Cost to Income(Excluding Provisions),47.9%,45.0%,52.1%
Cost to Income (Including Provisions),55.3%,51.0%,58.3%
Cost of funds,3.8%,5.7%,4.5%
Staff Cost to Total Income,23.1%,21.3%,22.2%
Debt to Equity,38.0%,35.8%,32.3%
Average Return on Equity,21.7%,26.8%,22.7%
Average Return on assets,3.5%,4.2%,3.7%
FX to Non Funded income,16.5%,14.4%,14.1%
Non - Funded to Total Income,33.6%,33.8%,30.2%
Net Interest Margin(loans),9.5%,11.0%,10.5%
Net Interest Margin(Earning Assets),8.5%,9.9%,9.8%
Effective Corporate Tax Rate,28.4%,30.5%,31.6%
