Column,2020,2019,Column
Notes,KShs’000,KShs’000,
33,"48,840,645","44,626,998",
34,"(12,791,405)","(12,640,378)",
,"36,049,240","31,986,620",
35,"12,901,027","12,817,634",
35,"(331,529)","(118,546)",
,"12,569,498","12,699,088",
36,"2,837,870","2,148,844",
27,"18,475","18,476",
40,-,"40,768",
37,"2,054,881","1,302,735",
,"4,911,226","3,510,823",
,"53,529,964","48,196,531",
12(c),"(8,111,824)","(2,539,071)",
40,"(585,350)",-,
16(a),"(967,586)","(594,476)",
17,(610),(610),
18(a),"(1,687,344)","(1,523,591)",
19(a),"(1,317,487)","(1,212,163)",
38,"(13,421,673)","(12,374,217)",
39,"(13,006,291)","(9,286,684)",
,"(39,098,165)","(27,530,812)",
,"14,431,799","20,665,719",
15,"(149,939)","40,035",
,"14,281,860","20,705,754",
24(a),"(3,468,985)","(6,394,506)",
,"10,812,875","14,311,248",
,"11,594,089","14,528,813",
,"(781,214)","(217,565)",
,"10,812,875","14,311,248",
41,1.98,,2.48
41,1.98,,2.48
