Kshs. Billions (except for EPS),Q22020,Q22019,% Change (Y/Y)
Interest Income,21.81,20.43,6.8%
Interest Expense,5.90,6.17,-4.4%
Net Interest Income,15.91,14.25,11.6%
Fees & Commissions,6.77,7.07,-4.4%
Forex Income,1.31,0.95,37.2%
Other Income,0.24,0.72,-67.5%
Total Operating Income,24.22,23.01,5.3%
Loan Loss Provision,1.86,1.18,57.9%
Staff Costs,6.59,5.71,15.5%
Other Operating Expenses,6.11,5.71,7.1%
Profit Before Tax and Exceptional Items,9.65,10.41,-7.3%
Share of profit of associate,- 0.05,0.03,-301.5%
Profit Before Tax,9.60,10.44,-8.0%
Tax,2.40,2.97,-19.1%
Profit After Tax,7.20,7.47,-3.6%
Basic Annualized EPS,2.45,2.55,-3.6%
