Ksh. Billions,Q2-2016,Q22015,"% Change
(YoY)",FY 2015
Total Assets,363.0,325.1,11.7%,342.5
Loan book (Net),221.3,204.8,8.0%,208.6
Government Securities,76.6,50.2,52.6%,60.1
Total Deposits,279.6,252.8,10.6%,268.8
No. of account holders (Millions),5.97,5.3,12.6%,5.9
Shareholders Funds,57.9,47.1,23.0%,50.2
