Column,"Actual
1H2015","Projections
FY 2015"
Profit Before Tax Growth,30%,28% - 32%
Loans & Advances Growth,23.6%,18-22%
Deposits Growth,24.3%,25%
Cost to Income (Incl. Provisions),51.1%,53%
Non Funded to Total Income,33.6%,35%
ROE,28.6%,25-30%
ROA,4.2%,4 -4.5%
NPL,3.8%,4.15%
Cost of funds,3.62%,3.8%
Net interest margin (NIM),9.3%,9%
Cost of risk,0.7%,1%
