"Available
immediately
and up to 1
month",1-3 months,"3-12
months",1-5 years,Over 5 years,Total
KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
"10,798,981",-,-,-,-,"10,798,981"
"6,662,329","307,757",-,-,-,"6,970,086"
"2,017,923","15,281,714","18,494,728","39,011,658","156,199,472","231,005,495"
"5,725,848","6,093,372","17,423,830","159,830,625","257,451,303","446,524,978"
"25,205,081","21,682,843","35,918,558","198,842,283","413,650,775","695,299,540"
"654,958",-,-,-,-,"654,958"
"302,073,359","66,685,396","31,779,166",-,-,"400,537,921"
"48,679",-,-,"12,607,082","11,873,696","24,529,457"
"101,978","206,113","971,193","3,033,994","436,765","4,750,043"
"5,157,153",-,"23,312,410",-,-,"28,469,563"
"308,036,127","66,891,509","56,062,769","15,641,076","12,310,461","458,941,942"
"(282,831,046)","(45,208,666)","(20,144,211)","183,201,207","401,340,314","236,357,598"
"1,110,883","6,974,649","30,696,305","1,443,180",-,"40,225,017"
