Column,GROUP,Column,"KINGDO
BAN","M
K",Column,CO-OP BANK
31-Mar-22,"31-Dec-21 31-Mar-21
KSHS.'000 KSHS.'000
Audited (Un-audited)",31-Mar-22,"31-Dec-21 31-Mar-21
KSHS.'000 KSHS.'000
Audited (Un-audited)",,31-Mar-22,
KSHS.'000,,KSHS.'000,,,KSHS.'000,
(Un-audited),,(Un-audited),,,(Un-audited),
"5,835,223","16,543,902 3,455,723","199,274","497,793 126,716",,"5,300,621",
,"79,720 -
(559,225) 133,621
- -
(75,670) -
- -",,"- -
(104,228) 127,725
- -
- -
- -",,,
-,,-,,,-,
"(3,461,275)",,"(603,799)",,,"(2,857,076)",
-,,-,,,-,
-,,-,,,-,
-,,-,,,-,
"(3,461,275)","(555,175) 133,621","(603,799)","393,565 127,725",,"(2,857,076)",
"2,373,948","15,988,727 3,589,344","(404,525)","393,565 254,441",,"2,443,545",
,"2.85 0.59
2.85 0.59
1.00 -",,"- -
- -
- -",,,
0.99,,-,,,0.90,
0.99,,-,,,0.90,
-,,-,,,-,
,"49,730,992 51,983,753
6,338,967 6,753,175
43,392,025 45,230,579
24,791,016 23,609,705
18,601,009 21,620,874
18,224,344 13,489,091",,"6,014,872 7,255,907
1,695,674 1,623,263
4,319,198 5,632,644
2,675,806 4,429,061
1,643,392 1,203,583
1,483,202 1,203,583",,,
"49,461,265",,"6,348,369",,,"42,696,318",
"6,228,365",,"1,734,906",,,"4,441,734",
"43,232,900",,"4,613,463",,,"38,254,584",
"26,074,145",,"2,661,456",,,"23,241,536",
"17,158,754",,"1,952,007",,,"15,013,048",
"17,328,761",,"1,966,844",,,"14,886,852",
"(170,007)","376,665 8,131,783
7,710,169 5,863,548
11,827,617 11,138,617","(14,837)","160,190 -
- -
92,192 96,467",,"126,196",
"7,039,610",,-,,,"7,039,610",
"11,761,067",,"103,101",,,"11,655,929",
"18,800,677","19,537,786 17,002,165
47,661,057 35,268,142
9,921,834 15,160,621
- -","103,101","92,192 96,467
561,266 813,364
1,203,500 343,950
- -",,"18,695,540",
"46,517,271",,"621,172",,,"45,857,103",
"6,955,409",,"1,203,500",,,"5,751,909",
-,,-,,,-,
"53,472,679","57,582,891 50,428,763
80,111,777 73,481,976
1,000,000 1,000,000
79,111,777 72,481,976
7,828,878 8,511,331
87,940,654 81,993,306
512,136,254 484,470,534
19.6% 18.4%
8.0% 8.0%
11.6% 10.4%
15.6% 15.2%
10.5% 10.5%
5.1% 4.7%
17.2% 16.9%
14.5% 14.5%
2.7% 2.4%
16.0% 16.2%
12.8% 13.3%
14.3% 15.1%
53.8% 54.8%
20.0% 20.0%
33.8% 34.8%","1,824,672","1,764,766 1,157,314
1,051,430 1,153,594
1,000,000 1,000,000
51,430 153,594
690,045 -
1,741,475 1,153,594
7,058,339 6,199,810
16.5% 20.8%
8.0% 8.0%
8.5% 12.8%
14.9% 18.6%
10.5% 10.5%
4.4% 8.1%
24.7% 18.6%
14.5% 14.5%
10.2% 4.1%
16.5% 20.8%
14.9% 18.7%
24.7% 18.7%
358.8% 386.9%
20.0% 20.0%
338.8% 366.9%",,"51,609,012",
"82,638,315",,"1,153,518",,,"81,185,361",
"1,000,000",,"1,000,000",,,"1,000,000",
"81,638,315",,"153,518",,,"80,185,361",
"6,806,125",,"692,878",,,"6,786,409",
"89,444,440",,"1,846,396",,,"87,971,770",
"539,824,209",,"8,019,407",,,"527,395,840",
19.8%,,16.8%,,,19.9%,
8.0%,,8.0%,,,8.0%,
"11.8%
15.3%",,"8.8%
14.4%",,,"11.9%
15.4%",
10.5%,,10.5%,,,10.5%,
4.8%,,3.9%,,,4.9%,
16.6%,,23.0%,,,16.7%,
14.5%,,14.5%,,,14.5%,
2.1%,,8.5%,,,2.2%,
16.0%,,16.8%,,,16.0%,
12.3%,,13.2%,,,12.3%,
13.6%,,21.2%,,,13.6%,
54.1%,,338.7%,,,46.4%,
20.0%,,20.0%,,,20.0%,
34.1%,,318.7%,,,26.5%,
