-,Column,-,Column,Column,"3,106,048",Column,Column,Column,"3,106,048",Column,Column,Column
"104,187,397",,-,,,-,,,,"104,187,397",,,
-,,-,,,"408,134",,,,"408,134",,,
-,,"6,311,783",,,-,,,,"6,311,783",,,
"89,104,981",,-,,,,,,-,,"89,","104,98",1
"24,281,380",,-,,,,,,-,,"24,","281,38",0
,,"895,927",,,,,,-,,,"895,92",7
-,,"6,459,809",,,,,,-,,"6,","459,80",9
-,,"367,277",,,,,,-,,,"367,27",7
-,,,,-,"3,083,65",,,3,,"3,0","83,653",
"98,695,811",,,,-,,,,-,,"98,6","95,811",
,-,,,-,,,"385,47",9,,3,"85,479",
,-,,"6,347,",857,,,,-,,"6,3","47,857",
,-,,,-,,"3,","083,65",3,,"3,0","83,653",
